code,display_name,name,list_date,delist_date,type,exchange,board
001287.XSHE,中电港,ZDG,2023-04-10,2200-01-01,stock,XSHE,Other
001301.XSHE,尚太科技,STKJ,2022-12-28,2200-01-01,stock,XSHE,Other
001308.XSHE,康冠科技,KGKJ,2022-03-18,2200-01-01,stock,XSHE,Other
001309.XSHE,德明利,DML,2022-07-01,2200-01-01,stock,XSHE,Other
001311.XSHE,多利科技,DLKJ,2023-02-27,2200-01-01,stock,XSHE,Other
001322.XSHE,箭牌家居,JPJJ,2022-10-26,2200-01-01,stock,XSHE,Other
001323.XSHE,慕思股份,MSGF,2022-06-23,2200-01-01,stock,XSHE,Other
001337.XSHE,四川黄金,SCHJ,2023-03-03,2200-01-01,stock,XSHE,Other
001338.XSHE,永顺泰,YST,2022-11-16,2200-01-01,stock,XSHE,Other
001339.XSHE,智微智能,ZWZN,2022-08-15,2200-01-01,stock,XSHE,Other
001356.XSHE,富岭股份,FLGF,2025-01-23,2200-01-01,stock,XSHE,Other
001359.XSHE,平安电工,PADG,2024-03-28,2200-01-01,stock,XSHE,Other
001369.XSHE,双欣材料,SXCL,2025-12-30,2200-01-01,stock,XSHE,Other
001376.XSHE,百通能源,BTNY,2023-11-03,2200-01-01,stock,XSHE,Other
001382.XSHE,新亚电缆,XYDL,2025-03-21,2200-01-01,stock,XSHE,Other
001389.XSHE,广合科技,GHKJ,2024-04-02,2200-01-01,stock,XSHE,Other
001696.XSHE,宗申动力,ZSDL,1997-03-06,2200-01-01,stock,XSHE,Other
001896.XSHE,豫能控股,YNKG,1998-01-22,2200-01-01,stock,XSHE,Other
001914.XSHE,招商积余,ZSJY,1994-09-28,2200-01-01,stock,XSHE,Other
002002.XSHE,ST鸿达,STHD,2004-06-25,2024-03-15,stock,XSHE,SME_or_MainBoard_SZ
002003.XSHE,伟星股份,WXGF,2004-06-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002004.XSHE,华邦健康,HBJK,2004-06-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002006.XSHE,精工科技,JGKJ,2004-06-25,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002010.XSHE,传化智联,CHZL,2004-06-29,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002011.XSHE,盾安环境,DAHJ,2004-07-05,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002015.XSHE,协鑫能科,XXNK,2004-07-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002016.XSHE,世荣兆业,SRZY,2004-07-08,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002017.XSHE,东信和平,DXHP,2004-07-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002019.XSHE,亿帆医药,YFYY,2004-07-13,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002020.XSHE,京新药业,JXYY,2004-07-15,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002022.XSHE,科华生物,KHSW,2004-07-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002023.XSHE,海特高新,HTGX,2004-07-21,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002025.XSHE,航天电器,HTDQ,2004-07-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002029.XSHE,七匹狼,QPL,2004-08-06,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002031.XSHE,巨轮智能,JLZN,2004-08-16,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002034.XSHE,旺能环境,WNHJ,2004-08-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002035.XSHE,华帝股份,HDGF,2004-09-01,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002036.XSHE,联创电子,LCDZ,2004-09-03,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002038.XSHE,双鹭药业,SLYY,2004-09-09,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002041.XSHE,登海种业,DHZY,2005-04-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002042.XSHE,华孚时尚,HFSS,2005-04-27,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002043.XSHE,兔宝宝,TBB,2005-05-10,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002044.XSHE,美年健康,MNJK,2005-05-18,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002045.XSHE,国光电器,GGDQ,2005-05-23,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002046.XSHE,国机精工,GJJG,2005-05-26,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
002047.XSHE,宝鹰股份,BYGF,2005-05-31,2200-01-01,stock,XSHE,SME_or_MainBoard_SZ
